Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.6,0.15491933384829668,10,2,1,2
2,1.5,0.32403703492039304,10,1,0,3
3,1.5,0.32403703492039304,10,1,0,3
4,1.8,0.23664319132398465,10,2,0,3
5,2.6,0.28982753492378877,10,2,2,4
6,2.9,0.29832867780352595,10,2,2,4
7,3.3,0.2846049894151541,10,4,2,4
8,3.5,0.25495097567963926,10,4,2,4
9,3.6,0.25298221281347033,10,4,2,4
10,3.6,0.25298221281347033,10,4,2,4
