Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.7,0.14491376746189438,10,2,1,2
2,1.8,0.340587727318528,10,2,0,3
3,2.3,0.20248456731316586,10,2,1,3
4,2.3,0.14491376746189438,10,2,2,3
5,2.1,0.26267851073127385,10,3,1,3
6,2.8,0.18973665961010275,10,3,1,3
7,3.0,0.0,10,3,3,3
8,3.0,0.0,10,3,3,3
9,3.0,0.0,10,3,3,3
10,2.8,0.12649110640673517,10,3,2,3
