Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.8,0.23664319132398465,10,1,1,3
2,1.7,0.14491376746189438,10,2,1,2
3,1.8,0.1264911064067352,10,2,1,2
4,1.9,0.09486832980505137,10,2,1,2
5,2.0,0.0,10,2,2,2
6,2.0,0.0,10,2,2,2
7,2.0,0.0,10,2,2,2
8,2.0,0.0,10,2,2,2
9,2.0,0.0,10,2,2,2
10,2.0,0.0,10,2,2,2
