child,child_fitness,child_xoverparent1,parent_1_fitness,parent1_co_points,parent2,parent2_fitness,parent2_co_points,mean_parent_co_points,selection_differential_co_points,mean_parents_fitness,selection_differential_fitness
3_2_2_1_2_3,0.009566979240511166,4,2_1_1_4_1_0,0.007303711811526063,4,2_3_1_0_1_8,0.0077893015513778195,4,4.0,-0.8000000000000003,0.0075465066814519415,-0.0011619650148350568
3_8_2_8_2_1,0.004978817362848469,5,2_8_1_6_1_0,0.012122865107920126,5,2_1_1_4_1_0,0.007303711811526063,4,4.5,-1.3000000000000003,0.009713288459723095,-0.0033287467931062105
3_6_2_5_2_0,0.027423035824873647,4,2_5_1_2_1_5,0.006832311867209808,3,2_0_1_0_1_6,0.004410487184971615,2,2.5,0.6999999999999997,0.005621399526090712,0.0007631421405261728
3_1_2_8_2_4,0.008975283807574952,6,2_8_1_6_1_0,0.012122865107920126,5,2_4_1_4_1_6,0.008808427603364463,3,4.0,-0.8000000000000003,0.010465646355642295,-0.004081104689025411
3_7_2_4_2_3,0.015090013967454354,6,2_4_1_4_1_6,0.008808427603364463,3,2_3_1_0_1_8,0.0077893015513778195,4,3.5,-0.30000000000000027,0.008298864577371142,-0.0019143229107542572
3_9_2_7_2_9,0.008720979401343105,3,2_7_1_2_1_8,0.004839168376412557,5,2_9_1_1_1_5,0.005773006288917394,1,3.0,0.19999999999999973,0.0053060873326649756,0.001078454333951909
3_5_2_5_2_9,0.010940282381749215,3,2_5_1_2_1_5,0.006832311867209808,3,2_9_1_1_1_5,0.005773006288917394,1,2.0,1.1999999999999997,0.006302659078063601,8.18825885532835e-05
3_3_2_4_2_1,0.008159847975223579,5,2_4_1_4_1_6,0.008808427603364463,3,2_1_1_4_1_0,0.007303711811526063,4,3.5,-0.30000000000000027,0.008056069707445263,-0.0016715280408283783
4_3_3_4_3_0,0.01650824209241626,8,3_4_2_8_2_3,0.011322925942818014,7,3_0_2_8_2_4,0.009534634806112925,6,6.5,-1.6000000000000005,0.01042878037446547,0.0010424996965854739
4_0_3_7_3_6,0.008350124548945183,7,3_7_2_4_2_3,0.015090013967454354,6,3_6_2_5_2_0,0.027423035824873647,4,5.0,-0.10000000000000053,0.021256524896164,-0.009785244825113056
4_5_3_7_3_5,0.005844109858078718,5,3_7_2_4_2_3,0.015090013967454354,6,3_5_2_5_2_9,0.010940282381749215,3,4.5,0.39999999999999947,0.013015148174601785,-0.0015438681035508418
4_9_3_0_3_4,0.01187977564800861,7,3_0_2_8_2_4,0.009534634806112925,6,3_4_2_8_2_3,0.011322925942818014,7,6.5,-1.6000000000000005,0.01042878037446547,0.0010424996965854739
4_7_3_2_3_5,0.012444219108110178,4,3_2_2_1_2_3,0.009566979240511166,4,3_5_2_5_2_9,0.010940282381749215,3,3.5,1.3999999999999995,0.01025363081113019,0.0012176492599207528
4_2_3_6_3_5,0.030154271689762403,4,3_6_2_5_2_0,0.027423035824873647,4,3_5_2_5_2_9,0.010940282381749215,3,3.5,1.3999999999999995,0.019181659103311433,-0.007710379032260489
4_8_3_6_3_9,0.007937392184006766,5,3_6_2_5_2_0,0.027423035824873647,4,3_9_2_7_2_9,0.008720979401343105,3,3.5,1.3999999999999995,0.018072007613108378,-0.006600727542057434
4_1_3_4_3_7,0.013304266149074727,7,3_4_2_8_2_3,0.011322925942818014,7,3_7_2_4_2_3,0.015090013967454354,6,6.5,-1.6000000000000005,0.013206469955136184,-0.0017351898840852406
4_4_3_6_3_2,0.009691918219149331,5,3_6_2_5_2_0,0.027423035824873647,4,3_2_2_1_2_3,0.009566979240511166,4,4.0,0.8999999999999995,0.018495007532692405,-0.007023727461641462
4_6_3_7_3_1,0.007265292485910351,5,3_7_2_4_2_3,0.015090013967454354,6,3_1_2_8_2_4,0.008975283807574952,6,6.0,-1.1000000000000005,0.012032648887514652,-0.0005613688164637087
5_5_4_1_4_2,0.006401364992102887,7,4_1_3_4_3_7,0.013304266149074727,7,4_2_3_6_3_5,0.030154271689762403,4,5.5,0.20000000000000018,0.021729268919418565,-0.009391307721072313
5_9_4_1_4_3,0.010441991953002645,10,4_1_3_4_3_7,0.013304266149074727,7,4_3_3_4_3_0,0.01650824209241626,8,7.5,-1.7999999999999998,0.014906254120745494,-0.002568292922399242
5_0_4_3_4_2,0.006401364992102887,7,4_3_3_4_3_0,0.01650824209241626,8,4_2_3_6_3_5,0.030154271689762403,4,6.0,-0.2999999999999998,0.023331256891089332,-0.01099329569274308
5_1_4_2_4_7,0.006401364992102887,5,4_2_3_6_3_5,0.030154271689762403,4,4_7_3_2_3_5,0.012444219108110178,4,4.0,1.7000000000000002,0.02129924539893629,-0.00896128420059004
5_6_4_4_4_2,0.006401364992102887,4,4_4_3_6_3_2,0.009691918219149331,5,4_2_3_6_3_5,0.030154271689762403,4,4.5,1.2000000000000002,0.019923094954455867,-0.007585133756109615
5_8_4_8_4_0,0.004214050788641973,8,4_8_3_6_3_9,0.007937392184006766,5,4_0_3_7_3_6,0.008350124548945183,7,6.0,-0.2999999999999998,0.008143758366475976,0.004194202831870277
5_4_4_3_4_9,0.007747911255749917,7,4_3_3_4_3_0,0.01650824209241626,8,4_9_3_0_3_4,0.01187977564800861,7,7.5,-1.7999999999999998,0.014194008870212436,-0.0018560476718661838
5_3_4_4_4_7,0.008108922680641594,4,4_4_3_6_3_2,0.009691918219149331,5,4_7_3_2_3_5,0.012444219108110178,4,4.5,1.2000000000000002,0.011068068663629756,0.0012698925347164967
5_7_4_7_4_9,0.007944392382527185,3,4_7_3_2_3_5,0.012444219108110178,4,4_9_3_0_3_4,0.01187977564800861,7,5.5,0.20000000000000018,0.012161997378059394,0.00017596382028685874
5_2_4_3_4_1,0.005442675437224033,7,4_3_3_4_3_0,0.01650824209241626,8,4_1_3_4_3_7,0.013304266149074727,7,7.5,-1.7999999999999998,0.014906254120745494,-0.002568292922399242
6_3_5_5_5_4,0.006060592830387936,6,5_5_4_1_4_2,0.006401364992102887,7,5_4_4_3_4_9,0.007747911255749917,7,7.0,-0.7999999999999998,0.0070746381239264015,-0.0001240976773065122
6_0_5_9_5_3,0.008414319514928069,7,5_9_4_1_4_3,0.010441991953002645,10,5_3_4_4_4_7,0.008108922680641594,4,7.0,-0.7999999999999998,0.00927545731682212,-0.0023249168702022304
6_6_5_1_5_6,0.006060592830387936,4,5_1_4_2_4_7,0.006401364992102887,5,5_6_4_4_4_2,0.006401364992102887,4,4.5,1.7000000000000002,0.006401364992102887,0.000549175454517002
6_2_5_9_5_3,0.006633782581455791,7,5_9_4_1_4_3,0.010441991953002645,10,5_3_4_4_4_7,0.008108922680641594,4,7.0,-0.7999999999999998,0.00927545731682212,-0.0023249168702022304
6_8_5_4_5_3,0.006582638338161388,7,5_4_4_3_4_9,0.007747911255749917,7,5_3_4_4_4_7,0.008108922680641594,4,5.5,0.7000000000000002,0.007928416968195755,-0.0009778765215758657
6_1_5_4_5_7,0.006060592830387936,5,5_4_4_3_4_9,0.007747911255749917,7,5_7_4_7_4_9,0.007944392382527185,3,5.0,1.2000000000000002,0.007846151819138551,-0.0008956113725186619
6_4_5_0_5_7,0.004225013464345765,5,5_0_4_3_4_2,0.006401364992102887,7,5_7_4_7_4_9,0.007944392382527185,3,5.0,1.2000000000000002,0.007172878687315036,-0.00022233824069514685
6_5_5_3_5_9,0.00644573393080622,7,5_3_4_4_4_7,0.008108922680641594,4,5_9_4_1_4_3,0.010441991953002645,10,7.0,-0.7999999999999998,0.00927545731682212,-0.0023249168702022304
6_9_5_0_5_9,0.006060592830387936,7,5_0_4_3_4_2,0.006401364992102887,7,5_9_4_1_4_3,0.010441991953002645,10,8.5,-2.3,0.008421678472552766,-0.0014711380259328768
6_7_5_7_5_5,0.006060592830387936,6,5_7_4_7_4_9,0.007944392382527185,3,5_5_4_1_4_2,0.006401364992102887,7,5.0,1.2000000000000002,0.007172878687315036,-0.00022233824069514685
7_5_6_2_6_3,0.00835207954437517,6,6_2_5_9_5_3,0.006633782581455791,7,6_3_5_5_5_4,0.006060592830387936,6,6.5,-0.40000000000000036,0.006347187705921863,-8.674250775817134e-05
7_9_6_1_6_0,0.006465675345179547,8,6_1_5_4_5_7,0.006060592830387936,5,6_0_5_9_5_3,0.008414319514928069,7,6.0,0.09999999999999964,0.007237456172658002,-0.0009770109744943103
7_8_6_9_6_3,0.006465675345179547,6,6_9_5_0_5_9,0.006060592830387936,7,6_3_5_5_5_4,0.006060592830387936,6,6.5,-0.40000000000000036,0.006060592830387936,0.00019985236777575553
7_7_6_8_6_5,0.008405976807209333,8,6_8_5_4_5_3,0.006582638338161388,7,6_5_5_3_5_9,0.00644573393080622,7,7.0,-0.9000000000000004,0.006514186134483804,-0.0002537409363201123
7_3_6_0_6_5,0.008190387755872686,7,6_0_5_9_5_3,0.008414319514928069,7,6_5_5_3_5_9,0.00644573393080622,7,7.0,-0.9000000000000004,0.007430026722867144,-0.001169581524703452
7_0_6_2_6_0,0.00412180981020013,7,6_2_5_9_5_3,0.006633782581455791,7,6_0_5_9_5_3,0.008414319514928069,7,7.0,-0.9000000000000004,0.00752405104819193,-0.001263605850028238
7_6_6_6_6_2,0.006932784956408935,6,6_6_5_1_5_6,0.006060592830387936,4,6_2_5_9_5_3,0.006633782581455791,7,5.5,0.5999999999999996,0.006347187705921863,-8.674250775817134e-05
7_4_6_6_6_8,0.00777717540747745,4,6_6_5_1_5_6,0.006060592830387936,4,6_8_5_4_5_3,0.006582638338161388,7,5.5,0.5999999999999996,0.0063216155842746626,-6.11703861109706e-05
7_1_6_8_6_5,0.008172422001594631,7,6_8_5_4_5_3,0.006582638338161388,7,6_5_5_3_5_9,0.00644573393080622,7,7.0,-0.9000000000000004,0.006514186134483804,-0.0002537409363201123
7_2_6_0_6_2,0.009100652639294082,7,6_0_5_9_5_3,0.008414319514928069,7,6_2_5_9_5_3,0.006633782581455791,7,7.0,-0.9000000000000004,0.00752405104819193,-0.001263605850028238
8_9_7_2_7_4,,7,7_2_6_0_6_2,0.009100652639294082,7,7_4_6_6_6_8,0.00777717540747745,4,5.5,1.1000000000000005,0.008438914023385766,-0.001040450062106615
8_4_7_3_7_5,,6,7_3_6_0_6_5,0.008190387755872686,7,7_5_6_2_6_3,0.00835207954437517,6,6.5,0.10000000000000053,0.008271233650123928,-0.000872769688844777
8_2_7_2_7_7,,8,7_2_6_0_6_2,0.009100652639294082,7,7_7_6_8_6_5,0.008405976807209333,8,7.5,-0.8999999999999995,0.008753314723251707,-0.0013548507619725557
8_8_7_3_7_1,,8,7_3_6_0_6_5,0.008190387755872686,7,7_1_6_8_6_5,0.008172422001594631,7,7.0,-0.39999999999999947,0.008181404878733659,-0.0007829409174545075
8_3_7_1_7_4,,5,7_1_6_8_6_5,0.008172422001594631,7,7_4_6_6_6_8,0.00777717540747745,4,5.5,1.1000000000000005,0.00797479870453604,-0.0005763347432568896
8_7_7_7_7_6,,7,7_7_6_8_6_5,0.008405976807209333,8,7_6_6_6_6_2,0.006932784956408935,6,7.0,-0.39999999999999947,0.007669380881809134,-0.00027091692052998335
8_0_7_7_7_2,,9,7_7_6_8_6_5,0.008405976807209333,8,7_2_6_0_6_2,0.009100652639294082,7,7.5,-0.8999999999999995,0.008753314723251707,-0.0013548507619725557
8_1_7_5_7_3,,7,7_5_6_2_6_3,0.00835207954437517,6,7_3_6_0_6_5,0.008190387755872686,7,6.5,0.10000000000000053,0.008271233650123928,-0.000872769688844777
8_6_7_9_7_5,,5,7_9_6_1_6_0,0.006465675345179547,8,7_5_6_2_6_3,0.00835207954437517,6,7.0,-0.39999999999999947,0.0074088774447773585,-1.0413483498207532e-05
8_5_7_7_7_2,,10,7_7_6_8_6_5,0.008405976807209333,8,7_2_6_0_6_2,0.009100652639294082,7,7.5,-0.8999999999999995,0.008753314723251707,-0.0013548507619725557
