Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.8,0.18973665961010278,10,2,1,3
2,1.3,0.20248456731316583,10,1,0,2
3,1.6,0.15491933384829668,10,2,1,2
4,2.0,0.19999999999999998,10,2,1,3
5,2.3,0.20248456731316586,10,2,1,3
6,2.7,0.14491376746189438,10,3,2,3
7,3.0,0.0,10,3,3,3
8,3.0,0.0,10,3,3,3
9,2.8,0.12649110640673517,10,3,2,3
10,3.0,0.0,10,3,3,3
