Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.3,0.14491376746189438,10,1,1,2
2,1.2,0.18973665961010278,10,1,1,3
3,1.3,0.3478505426185217,10,0,0,3
4,1.8,0.3098386676965933,10,1,0,3
5,2.5,0.21213203435596426,10,3,1,3
6,2.9,0.09486832980505137,10,3,2,3
7,2.8,0.12649110640673517,10,3,2,3
8,2.7,0.14491376746189438,10,3,2,3
9,2.9,0.09486832980505137,10,3,2,3
