Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.6,0.15491933384829668,10,2,1,2
2,0.8,0.18973665961010278,10,1,0,2
3,0.9,0.22135943621178655,10,1,0,2
4,1.0,0.2449489742783178,10,1,0,2
5,1.2,0.23664319132398462,10,1,0,2
6,1.5,0.15811388300841897,10,1,1,2
7,1.8,0.12649110640673517,10,2,1,2
8,2.0,0.0,10,2,2,2
9,2.0,0.0,10,2,2,2
10,2.0,0.0,10,2,2,2
