1_0_ _ _ _ ,4,3,2,1.4285714285714286,3,6,3,2
5_2_4_3_4_6,4,3,1,1.1428571428571428,1,1,0,4,4,3,2,0.8571428571428571,2,2,0,4,6,1,0,0.2857142857142857,0,0,0,2
5_3_4_4_4_6,5,2,1,0.8571428571428571,3,3,0,3,5,2,1,0.8571428571428571,3,3,0,3,6,1,0,0.2857142857142857,0,0,0,2
5_4_4_3_4_5,6,1,0,0.2857142857142857,0,0,0,2,4,3,2,0.8571428571428571,2,2,0,4,7,0,0,0.0,0,0,0,0
5_5_4_1_4_7,6,1,0,0.2857142857142857,0,0,0,2,5,2,1,0.8571428571428571,3,3,0,3,5,2,0,0.8571428571428571,0,0,0,3
5_6_4_5_4_7,6,1,0,0.2857142857142857,0,0,0,2,7,0,0,0.0,0,0,0,0,5,2,0,0.8571428571428571,0,0,0,3
5_7_4_0_4_6,6,1,1,0.2857142857142857,1,1,0,1,7,0,0,0.0,0,0,0,0,6,1,0,0.2857142857142857,0,0,0,2
5_8_4_9_4_1,7,0,0,0.0,0,0,0,0,7,0,0,0.0,0,0,0,0,5,2,1,0.8571428571428571,3,3,0,3
5_9_4_4_4_3,5,2,0,0.5714285714285714,2,2,0,2,5,2,1,0.8571428571428571,3,3,0,3,4,3,2,0.8571428571428571,2,2,0,4
6_0_5_0_5_4,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2
6_1_5_4_5_6,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2
6_2_5_5_5_0,5,2,1,0.5714285714285714,1,1,0,3,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2
6_3_5_8_5_5,7,0,0,0.0,0,0,0,0,7,0,0,0.0,0,0,0,0,6,1,0,0.2857142857142857,0,0,0,2
6_4_5_4_5_6,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2
6_5_5_0_5_9,4,3,0,1.1428571428571428,2,2,0,3,6,1,0,0.2857142857142857,0,0,0,2,5,2,0,0.5714285714285714,2,2,0,2
6_6_5_4_5_9,4,3,0,1.1428571428571428,2,2,0,3,6,1,0,0.2857142857142857,0,0,0,2,5,2,0,0.5714285714285714,2,2,0,2
6_7_5_0_5_8,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2,7,0,0,0.0,0,0,0,0
6_8_5_1_5_6,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2
6_9_5_2_5_5,4,3,1,1.1428571428571428,1,1,0,4,4,3,1,1.1428571428571428,1,1,0,4,6,1,0,0.2857142857142857,0,0,0,2
7_0_6_8_6_0,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2
7_1_6_0_6_8,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2
7_2_6_4_6_5,4,3,0,1.1428571428571428,2,2,0,3,6,1,0,0.2857142857142857,0,0,0,2,4,3,0,1.1428571428571428,2,2,0,3
7_3_6_1_6_3,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2,7,0,0,0.0,0,0,0,0
7_4_6_8_6_0,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2
7_5_6_4_6_5,4,3,0,1.1428571428571428,2,2,0,3,6,1,0,0.2857142857142857,0,0,0,2,4,3,0,1.1428571428571428,2,2,0,3
7_6_6_0_6_6,4,3,0,1.1428571428571428,2,2,0,3,6,1,0,0.2857142857142857,0,0,0,2,4,3,0,1.1428571428571428,2,2,0,3
7_7_6_8_6_5,5,2,0,0.5714285714285714,1,1,0,2,6,1,0,0.2857142857142857,0,0,0,2,4,3,0,1.1428571428571428,2,2,0,3
7_8_6_4_6_7,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2,6,1,0,0.2857142857142857,0,0,0,2
7_9_6_3_6_1,6,1,0,0.2857142857142857,0,0,0,2,7,0,0,0.0,0,0,0,0,6,1,0,0.2857142857142857,0,0,0,2
