child,child_fitness,child_xoverparent1,parent_1_fitness,parent1_co_points,parent2,parent2_fitness,parent2_co_points,mean_parent_co_points,selection_differential_co_points,mean_parents_fitness,selection_differential_fitness
2_0_1_3_1_0,0.00720199338247683,3,1_3_ _ _ _ ,0.012416218404287022,2,1_0_ _ _ _ ,0.039525523927531184,2,2.0,-2.220446049250313e-16,0.025970871165909102,-0.015422424590832847
3_0_2_1_2_3,0.010828560551006746,4,2_1_1_0_1_6,0.017652703111239624,2,2_3_1_0_1_3,0.031446827400704334,4,3.0,0.19999999999999973,0.02454976525597198,-0.012465645758177211
4_0_3_3_3_6,0.005844109858078718,3,3_3_2_6_2_5,0.012231685854235811,3,3_6_2_5_2_6,0.012231685854235811,2,2.5,0.9000000000000004,0.012231685854235811,-0.0027676153279384327
5_0_4_3_4_5,0.008429089747242598,6,4_3_3_8_3_3,0.011752272170606893,4,4_5_3_6_3_5,0.012444219108110178,2,3.0,0.7000000000000002,0.012098245639358535,-0.003304956291717733
6_0_5_0_5_4,0.006852081180883171,6,5_0_4_3_4_5,0.008429089747242598,6,5_4_4_3_4_5,0.007895477969574252,7,6.5,-1.7999999999999998,0.008162283858408425,-0.0031086509339029594
7_0_6_8_6_0,0.006447709590901493,8,6_8_5_1_5_6,0.007205724911955512,6,6_0_5_0_5_4,0.006852081180883171,6,6.0,-0.7000000000000011,0.007028903046419342,-0.0020152235206137813
8_0_7_2_7_9,,5,7_2_6_4_6_5,0.00784903842458967,5,7_9_6_3_6_1,0.007723278144643296,4,4.5,1.0,0.007786158284616483,-0.0006898849642772579
