Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.5,0.21213203435596426,10,1,1,3
2,1.5,0.21213203435596426,10,1,1,3
3,1.3,0.14491376746189438,10,1,1,2
4,1.0,0.0,10,1,1,1
5,1.0,0.0,10,1,1,1
6,0.8,0.1264911064067352,10,1,0,1
7,1.0,0.0,10,1,1,1
8,1.0,0.0,10,1,1,1
9,1.0,0.0,10,1,1,1
10,1.0,0.0,10,1,1,1
