Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.8,0.23664319132398462,10,1,1,3
2,2.1,0.29832867780352595,10,2,1,4
3,2.7,0.317804971641414,10,2,1,4
4,3.3,0.2846049894151541,10,4,2,4
5,3.8,0.12649110640673517,10,4,3,4
6,3.9,0.09486832980505137,10,4,3,4
7,4.0,0.0,10,4,4,4
8,4.0,0.0,10,4,4,4
9,3.8,0.12649110640673517,10,4,3,4
10,4.1,0.22135943621178653,10,4,3,5
