Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.2,0.12649110640673517,10,1,1,2
2,1.2,0.27568097504180444,10,2,0,2
3,1.0,0.19999999999999998,10,1,0,2
4,1.2,0.12649110640673517,10,1,1,2
5,1.3,0.14491376746189438,10,1,1,2
6,1.5,0.15811388300841897,10,1,1,2
7,1.8,0.18973665961010278,10,2,0,2
8,2.0,0.0,10,2,2,2
9,2.0,0.0,10,2,2,2
10,1.9,0.09486832980505137,10,2,1,2
