Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.3,0.14491376746189438,10,1,1,2
2,2.0,0.19999999999999998,10,2,1,3
3,2.8,0.30983866769659335,10,2,2,5
4,3.1,0.29832867780352595,10,3,2,5
5,3.0,0.19999999999999998,10,3,2,4
6,3.2,0.12649110640673517,10,3,3,4
7,3.1,0.17029386365926402,10,3,2,4
8,3.2,0.12649110640673517,10,3,3,4
9,3.2,0.12649110640673517,10,3,3,4
10,3.3,0.14491376746189438,10,3,3,4
