Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.4,0.20976176963403032,10,1,1,3
2,1.6,0.28982753492378877,10,1,0,3
3,1.7,0.14491376746189438,10,2,1,2
4,1.6,0.15491933384829668,10,2,1,2
5,1.9,0.22135943621178655,10,2,1,3
6,2.7,0.3478505426185217,10,3,1,4
7,3.5,0.25495097567963926,10,3,2,5
8,3.7,0.14491376746189438,10,4,3,4
9,4.1,0.09486832980505137,10,4,4,5
10,3.6,0.15491933384829668,10,4,3,4
