Generation,mean_threads,stderr,gen_size,mode,min,max
1,1.6,0.20976176963403032,10,1,1,3
2,1.9,0.22135943621178653,10,2,1,3
3,1.7,0.14491376746189438,10,2,1,2
4,1.1,0.09486832980505137,10,1,1,2
5,0.6,0.20976176963403032,10,0,0,2
6,0.5,0.15811388300841897,10,0,0,1
7,0.6,0.15491933384829665,10,1,0,1
8,0.9,0.09486832980505139,10,1,0,1
9,0.9,0.09486832980505139,10,1,0,1
10,1.0,0.0,10,1,1,1
