Generation,mean_threads,stderr,gen_size,mode,min,max
1,2.1,0.2626785107312739,10,3,1,3
2,2.5,0.25495097567963926,10,2,1,4
3,3.9,0.3301514803843836,10,5,2,5
4,4.3,0.3754996671103717,10,5,1,5
5,4.7,0.14491376746189438,10,5,4,5
6,5.0,0.0,10,5,5,5
7,5.0,0.0,10,5,5,5
8,5.0,0.0,10,5,5,5
9,5.0,0.0,10,5,5,5
10,4.9,0.09486832980505137,10,5,4,5
